w,G_p,G_pp
500,96294,57836
312.37,80898,51523
195.15,65985,46284
121.92,52578,41041
76.165,40924,35704
47.583,31079,30410
29.727,22998,25334
18.572,16543,20603
11.602,11546,16337
7.2484,7810.5,12631
4.5283,5128.8,9533.3
2.829,3253.2,7012.6
1.7674,2002.9,5050.9
1.1042,1193.3,3556.5
0.68981,689.73,2452.5
0.43095,385.49,1658
0.26923,209.97,1104.4
0.1682,110.21,726.66
0.10508,56.973,471.97
0.065647,28.384,302.26
0.041012,13.753,187.42
0.025622,6.5621,119.39
0.016007,2.3129,75.477
